V8 - POST : [8086766.830830831,11520051.25125125,11549161.961961962,11543421.821821822,13000597.397397397,11513081.081081081,11368347.547547547,11659610.458458459,12325634.818818819,12016983.383383384,12232238.638638638,12129326.126126125,12231008.608608609,12279643.995995997,12102675.475475475,12995677.277277278,12757084.252252253,13264643.843843844,13589781.781781781,12375742.142142141,12296200.2002002,12080944.944944944,11921861.061061062,13671373.773773775,12938275.875875875,12502271.231231231,11845189.18918919,11517591.19119119,12241668.868868869,11918006.966966966,13340085.685685685,13709914.714714715,17254861.261261262,12228958.558558559,12027643.643643644,12355651.651651653,12525805.805805806,12945246.046046047,14500471.415415416,11807058.258258259,11869748.788788788,11973932.332332332,12073564.764764765,12680379.579579579,13338002.834834835,12438358.870870871,12035843.843843844,11923099.29129129,11745015.543543544,12476194.594594594,12486034.834834835,13454478.478478478,14173636.036036037,12394602.602602603,12675869.469469469,11965732.132132132,12199847.847847847,12474603.755755756,12317922.530530531,12152286.686686687,12296200.2002002,12079017.897897897,12663159.15915916,13763216.016016016,13061688.888888888,13749685.685685685,17132268.26826827,15059667.667667668,12317487.91991992,12402392.792792793,13124010.41041041,12447493.893893894,12720150.55055055,12822653.053053053,12288410.01001001,12313010.61061061,11739406.606606606,12673819.419419419,12338431.231231231,12603707.707707707,12684069.66966967,12261759.35935936,12992114.29029029,12088325.125125125,12235928.728728728,13420447.647647647,12630833.96996997,12817683.731731731,12087931.515515516,12046914.114114115,12849713.713713713,12501615.215215215,13824717.517517518,12685529.305305306,12115959.7997998,11805828.228228228,12131786.186186187,12734500.9009009,13775106.306306306,14621686.774774775] -> Média: 12589280.439479478
V8 - GET : [9762510.542542543,11711525.925925925,11311766.166166166,12730810.81081081,12194107.707707707,11202703.503503503,11052639.83983984,11413038.638638638,12717280.480480481,11611073.473473474,12964106.506506506,12034613.813813813,11893160.36036036,11950151.751751753,12454054.054054054,13536890.49049049,12661519.119119119,13318765.165165165,12421253.253253253,12192467.667667668,11975982.382382382,11766877.277277278,12183406.446446447,12440523.723723724,12938275.875875875,11964912.112112112,11892340.34034034,11538501.701701703,12076844.844844844,11581962.762762763,14720179.379379379,13872278.678678678,18716136.936936937,11955481.881881882,12379432.232232232,12197387.787787788,12545486.286286287,13540580.580580581,12258479.279279279,11666014.814814815,11568022.422422422,11733666.466466466,12479064.664664665,13064148.94894895,13413067.467467468,12429863.463463463,11620503.703703703,11696765.565565566,11739406.606606606,12984196.996996997,12988821.90990991,14049403.003003003,12946476.076076075,12109235.635635635,12127276.076076075,12317520.720720721,12064134.534534534,12574186.986986987,11960812.012012012,11812798.398398397,12176477.277277278,11866099.6996997,13168291.491491491,13531560.36036036,13629962.762762763,13830867.667667668,18566483.283283282,12151056.656656656,11999762.962962963,12132606.206206206,12358521.721721722,13800526.926926928,12615187.987987988,12342941.34134134,12235518.718718719,11992792.792792793,12442983.783783784,13130980.580580581,12365491.891891891,12506502.534534534,12529085.885885885,12524165.765765766,12582596.292292293,12548356.356356356,13285554.354354354,14665238.038038038,12217478.278278278,12322440.84084084,12082174.974974975,12046914.114114115,12971486.686686687,12390502.502502503,15177750.55055055,12490544.944944944,11913660.86086086,12026823.623623624,12266679.479479479,13979291.29129129,13829227.627627628,12379022.222222222] -> Média: 12580985.075955953 
V8 - Put : [9841470.27027027,11778857.76976977,11378187.787787788,12622158.158158159,11211723.723723724,11182203.003003003,10989498.298298297,11636084.084084084,12717280.480480481,11691025.425425425,13098999.7997998,12331461.061061062,12028053.653653653,12051424.224224225,12698420.02002002,12733270.870870871,12661519.119119119,14292948.94894895,12160076.876876878,12133426.226226225,11708245.845845846,11761957.157157157,12480704.704704706,12440523.723723724,13873762.914914915,12262169.369369369,11782047.647647647,11646744.344344344,12022313.513513513,11797628.028028028,13331885.485485485,14819401.801801803,19825624.024024025,12090375.175175175,12301120.320320321,11903410.61061061,12566396.796796797,14352400.4004004,12555736.536536537,12071104.704704706,11702915.715715716,11728336.336336337,12329001.001001,13064148.94894895,13736975.375375375,12536056.056056056,11917350.95095095,11777537.537537538,11745556.756756756,12984196.996996997,13094489.68968969,15131829.429429429,13081369.369369369,12169917.117117116,12424533.333333334,12831402.666666666,11796397.997997997,11891520.320320321,12258069.269269269,12017803.403403403,12473734.534534534,12122355.955955956,13519670.07007007,13531560.36036036,13398307.107107107,14859172.772772772,14708289.08908909,12394602.602602603,12297020.22022022,12403212.812812813,11933341.34134134,12693089.88988989,12452414.014014013,12259709.30930931,11942361.561561562,11830428.828828828,11834938.938938938,13130980.580580581,12916135.335335335,12524165.765765766,12772221.821821822,12821423.023023022,12415103.103103103,12235928.728728728,13420447.647647647,13486459.25925926,12266269.469469469,12619698.098098097,12103905.505505506,12497925.125125125,13214622.622622622,12498745.145145144,16140027.643643644,12787802.202202203,12046446.702702703,12324080.880880881,12437243.643643644,13451198.398398397,14776350.75075075,12513915.515515516] -> Média: 12631063.57557558 
V8 - Delete : [10632789.58958959,11451989.58958959,11300285.885885885,12622158.158158159,11134231.831831831,11078880.480480481,11009998.7987988,11743916.716716716,12960826.426426426,11691025.425425425,13098999.7997998,12065364.564564565,11865279.679679679,12132196.196196197,12995677.277277278,12733270.870870871,12913265.265265265,13563131.131131131,12023953.553553553,11917350.95095095,11702095.695695696,11624193.793793794,12480704.704704706,12613957.957957959,13479899.0990991,11736946.546546547,11433129.129129129,11836168.968968969,12022313.513513513,12014113.313313313,13709914.714714715,15577100.3003003,13561081.081081081,12008373.173173172,12004273.073073072,11903410.61061061,12945246.046046047,15055567.567567568,11989922.722722722,11621733.733733734,11595493.093093093,11728336.336336337,12680379.579579579,13064148.94894895,12372011.05105105,11586472.872872872,11702095.695695696,11746786.786786787,11745556.756756756,12188777.577577578,13445868.268268269,15889527.927927928,12525805.805805806,12467174.374374375,12532775.975975975,12172787.187187187,11796397.997997997,11891520.320320321,11937851.45145145,12315060.66066066,12049374.174174175,12419613.213213213,13519670.07007007,13055735.543543544,13749685.685685685,15670992.592592593,15059667.667667668,12179347.347347347,12096414.622622622,12772631.831831831,11933341.34134134,12693089.88988989,12470864.464464465,11936621.421421422,11934161.361361362,11830428.828828828,11834938.938938938,13130980.580580581,13159271.271271272,12821423.023023022,12399522.722722722,12684069.66966967,12147366.566566566,12235928.728728728,13420447.647647647,13837837.837837838,12563526.726726728,12089555.155155156,11937441.441441441,12849713.713713713,12693356.396396397,12498745.145145144,13829637.637637638,12152696.696696697,11943181.581581581,12184267.467467468,12734500.9009009,13775106.306306306,15588170.570570571,12298660.26026026] -> Média: 12518215.536496496 
V8 - Tempo de execução : [6444,4431,4585,8342,15158,15008,10749,5560,4477,4215,9795,15147,15654,8481,6161,4430,3523,10652,15094,15705,7230,6118,4723,3569,11675,15134,15650,6706,6070,4340,4201,13794,15250,14641,6587,4541,4845,6644,14438,15618,11477,6128,4915,5084,8394,15251,15782,9681,4311,4943,5087,10336,15609,15838,7411,4347,4694,5577,13017,15442,13808,6412,4071,4907,5272,14232,15600,13114,6120,5131,3990,7656,14683,15694,10237,5915,4903,4068,8443,15033,15828,8989,6129,5182,4970,10583,15263,15039,7835,4440,5381,4772,12756,15569,12948,7581,4717,4550,6877,13914] -> Média: 9113.21 

ChakraCore - GET : [15507398.5985986,17298732.33233233,17145388.588588588,17029269.653653655,18295823.375375375,17544521.033033032,18519483.835835837,14084590.062062062,17859216.016016018,17038929.48948949,17649577.8978979,14720999.3993994,17891606.806806806,18761160.136136137,18552969.353353355,17108881.2972973,17445524.116116118,18172168.456456456,17840355.555555556,16971544.344344344,17325194.37837838,18326160.016016018,18677415.591591593,14274580.5005005,18671839.455455456,17754663.463463463,16552510.014014013,17755483.483483482,17136778.37837838,18032650.25025025,16091662.862862863,16174029.773773775,18472652.492492493,16900202.6026026,16026651.675675675,17531142.406406406,17052053.90990991,18136632.888888888,17971136.44844845,17073636.836836837,18865097.673673674,18473078.9029029,18458818.754754756,19197488.688688688,17384834.434434436,18694406.406406406,18966653.05305305,16171614.814814815,17718172.572572574,17606957.357357357,16584904.904904906,19236062.43043043,17633710.51051051,16468093.053053053,19657109.90990991,15568313.785785785,15541019.419419419,17797714.514514513,16187293.597597597,16267294.75075075,16567684.484484484,17130218.21821822,18395824.816816818,14862112.544544544,18540943.75975976,17611631.47147147,19844861.693693694,17549658.458458457,17814889.833833832,16260279.479479479,14522144.544544544,18301620.916916918,17850609.905905906,18102351.95195195,18394279.07907908,17920307.507507507,16825412.676676676,15968167.847847847,18541817.08108108,17553861.061061062,18400019.21921922,18754612.276276276,15751846.566566566,17508657.457457457,17198538.186186187,16656910.862862863,18814822.246246245,18722426.49049049,14396332.972972972,14761701.093093093,16411433.76976977,17249461.42942943,16732098.4984985,18378698.6986987,17269211.611611612,18776818.41841842,16807548.54054054,18176563.763763763,14450060.684684685,18297516.716716718] -> Média: 17359278.1415015
ChakraCore - Put : [16876832.03203203,16791549.94994995,16779659.65965966,15763691.755755756,15980734.654654654,17167119.11911912,17292090.17017017,15801375.775775775,17078556.956956957,17311807.55155155,17036740.036036037,15679192.792792793,17046166.166166168,16814961.52152152,16586475.243243244,17583279.27927928,16811484.636636637,16758749.14914915,17213679.855855856,16715288.088088088,16964922.68268268,17005575.175175175,17690701.9019019,16266126.222222222,17726467.075075075,16672876.652652653,17526160.784784786,17003049.513513513,14227757.357357357,16839521.12112112,16587364.964964965,17046592.576576576,17312262.662662663,14746010.01001001,15263852.652652653,16935295.359359358,17734605.773773775,17667741.341341343,16773509.50950951,17748874.122122124,17338093.293293294,17087167.167167168,17427623.07907908,17687421.82182182,17080607.007007007,17965326.606606606,17166799.311311312,16100404.276276276,16904688.112112112,16814510.51051051,17161899.691691693,17723912.712712713,15805467.675675675,16960966.086086087,17350553.4974975,16762455.63963964,16920293.093093093,14780188.444444444,16771451.25925926,18408461.325325325,16825990.790790793,16478302.302302303,17087577.177177176,17728943.535535537,17094030.734734736,16997374.974974975,18050690.690690693,17328695.863863863,15492539.835835835,17285972.82082082,16282727.527527528,17447975.975975975,16720208.208208209,14601276.476476476,17771387.77177177,16353027.843843844,17345063.463463463,16927681.473473474,17499907.843843844,16447883.65965966,17780034.882882882,18413426.546546545,17206205.373373374,18000197.957957957,16860841.641641643,16021620.852852853,17466410.026026025,16669871.279279279,16539393.793793794,15914538.538538538,17682485.3013013,17777706.026026025,14720999.3993994,17590433.953953955,16644754.066066066,16527421.5015015,16974389.813813813,16998592.704704706,15818669.997997997,17144978.57857858] -> Média: 16875672.236716717 
ChakraCore - Delete : [15986618.298298297,15957384.584584584,16457092.484484484,15462916.612612613,15409849.017017016,16319628.428428428,16535769.305305306,16408600.6006006,16522812.988988988,16614700.332332332,16826810.81081081,15957999.5995996,16385164.428428428,16744964.612612613,15479341.613613613,15316784.944944944,15895436.172172172,16472648.264264265,15321020.348348347,16180635.035035035,16411638.774774775,16614835.635635635,16775969.56956957,16243776.576576577,16603355.355355356,16442557.629629629,16550927.375375375,15975220.02002002,15791617.537537538,16055044.868868869,16004843.243243244,16492197.541541541,16111142.438438438,15388495.695695696,16318898.61061061,16176124.924924925,16419178.85885886,15675289.497497497,15983420.22022022,16921523.123123124,16466912.224224225,16333376.064064065,16473783.991991991,15922464.032032032,15673042.642642643,16916192.992992993,15710287.951951953,16376849.425425425,17149488.688688688,16144554.154154154,16248286.686686687,16688227.427427428,16349559.15915916,15708307.603603603,15208402.8988989,16418030.830830831,16138404.004004003,15566977.153153153,16357759.35935936,16276884.884884885,14069690.298298297,16464361.961961962,14930448.912912913,16480229.34934935,14223657.257257257,16505617.169169169,16144094.942942943,15484438.038038038,16046319.855855856,16373360.24024024,15777759.1991992,16279611.45145145,16491061.813813813,16279857.457457457,16142647.607607607,16470372.70870871,16188294.022022022,16363089.48948949,15913222.406406406,15907568.368368369,16090736.24024024,16536113.713713713,16488081.04104104,14702774.454454454,16430060.524524525,15467521.025025025,17070467.45945946,17200416.03203203,16487490.626626628,15881007.91991992,16299537.937937938,16236564.5005005,16467642.042042041,16778429.62962963,16551439.887887888,15645112.76076076,16066771.155155156,16765719.319319319,15030966.966966966,16232706.306306306] -> Média: 16143052.902502509 
ChakraCore - Tempo de execução : [11095,9890,8339,13677,17359,11376,8009,11851,8130,15778,14160,11243,10381,7967,11026,17856,11212,8210,12684,8591,16213,13178,9626,10590,9522,11020,16428,12041,10069,11417,9550,17458,10940,11252,11986,9782,14137,14354,9318,10836,8252,10030,16443,11669,10082,9167,10105,14088,14407,11858,9479,7951,11783,16058,12524,10169,9657,12728,14502,12151,13400,8615,11175,14399,15539,9879,9289,11355,12997,16145,13321,8579,9851,12561,15160,11165,9350,10038,9195,12729,15017,10064,10361,10189,12114,14780,12038,9500,10009,14883,13681,12248,11177,8509,10727,12131,14486,11264,12261,8771] -> Média: 11706.06 
